Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Đậu phụng,Trời lạnh buổi sáng,Che chắn bằng lưới,Giảm nguy cơ suy kiệt
Cà tím,Nhiều ngày nắng,Theo dõi sát thời tiết,Giúp cây tránh rụng hoa
Ớt,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của thối rễ
Xoài,Độ ẩm không khí cao,Tỉa thưa cây con,Hạn chế ảnh hưởng của nấm bệnh
Dưa leo,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với sâu xanh
Bắp cải,Trời nhiều mây,Bắt sâu thủ công,Tăng khả năng chống chịu với nấm bệnh
Cà chua,Trời âm u,Tưới nước định kỳ,Giúp cây tránh nấm bệnh
Cà chua,Mưa rào nhẹ,Theo dõi sát thời tiết,Giúp cây tránh thiếu nước
Chuối,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Bảo vệ cây khỏi bạc lá
Rau màu,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Giúp cây tránh rụng hoa
Thanh long,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với thối rễ
Đậu phụng,Sương mù dày,Bón vôi cải tạo đất,Giúp cây tránh cháy lá
Cải bẹ,Nắng gắt,Phun chế phẩm sinh học,Tăng khả năng chống chịu với thiếu nước
Mía,Nhiều ngày nắng,Bắt sâu thủ công,Tăng khả năng chống chịu với thối rễ
Thanh long,Có áp thấp nhiệt đới,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của sâu xanh
Dưa leo,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Giúp cây tránh cháy lá
Rau màu,Trời âm u,Che chắn bằng lưới,Giảm nguy cơ nảy mầm kém
Cà tím,Gió mạnh,Dừng bón phân đạm,Tăng khả năng chống chịu với sâu xanh
Rau màu,Nắng gắt,Phun thuốc phòng bệnh,Bảo vệ cây khỏi nảy mầm kém
Chuối,Nắng gắt,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với rụng hoa
Cà tím,Nắng nhẹ sau mưa,Tỉa thưa cây con,Giúp cây tránh đạo ôn
Cà chua,Trời âm u,Bắt sâu thủ công,Bảo vệ cây khỏi đạo ôn
Đậu phụng,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Giảm nguy cơ sâu xanh
Dưa hấu,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Giúp cây tránh rụng hoa
Chuối,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Bảo vệ cây khỏi nảy mầm kém
Bắp cải,Sương mù dày,Che chắn bằng lưới,Giúp cây tránh bạc lá
Cà tím,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Giảm nguy cơ vàng lá
Bắp cải,Mưa rào nhẹ,Tỉa thưa cây con,Bảo vệ cây khỏi suy kiệt
Cà chua,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Giảm nguy cơ thối rễ
Cà chua,Gió mạnh,Dừng bón phân đạm,Bảo vệ cây khỏi cháy lá
Bắp cải,Nắng nhẹ sau mưa,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của sâu xanh
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Giúp cây tránh héo rũ
Xoài,Mưa lớn,Theo dõi sát thời tiết,Bảo vệ cây khỏi suy kiệt
Rau màu,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Giúp cây tránh suy kiệt
Dưa leo,Nhiều ngày nắng,Tưới nước định kỳ,Bảo vệ cây khỏi cháy lá
Cà tím,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của héo rũ
Cải bẹ,Sương mù dày,Dừng bón phân đạm,Giảm nguy cơ thiếu nước
Đậu phụng,Độ ẩm thấp,Bón phân hữu cơ,Giúp cây tránh nấm bệnh
Thanh long,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Tăng khả năng chống chịu với nấm bệnh
Bắp cải,Trời âm u,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Cà tím,Sương mù dày,Tỉa thưa cây con,Giúp cây tránh sâu xanh
Đậu phụng,Mưa rào nhẹ,Đào mương xung quanh ruộng,Bảo vệ cây khỏi ngập úng
Bắp cải,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Giảm nguy cơ đạo ôn
Bắp cải,Có áp thấp nhiệt đới,Che phủ rơm/gỗ mục,Giảm nguy cơ ngập úng
Dưa leo,Trời nhiều mây,Tưới nước định kỳ,Tăng khả năng chống chịu với cháy lá
Ớt,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của cháy lá
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với sốc nhiệt
Dưa leo,Trời nhiều mây,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với cháy lá
Cải bẹ,Nắng gắt,Che phủ rơm/gỗ mục,Giảm nguy cơ nảy mầm kém
Lúa,Nắng nhẹ sau mưa,Tưới nước định kỳ,Hạn chế ảnh hưởng của héo rũ
Sắn,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Giảm nguy cơ sốc nhiệt
Dưa hấu,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Giảm nguy cơ suy kiệt
Cà tím,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của sốc nhiệt
Xoài,Trời lạnh buổi sáng,Tăng cường thoát nước,Hạn chế ảnh hưởng của rụng hoa
Dưa leo,Nhiệt độ thấp < 15°C,Bắt sâu thủ công,Bảo vệ cây khỏi đạo ôn
Chuối,Sương mù dày,Dừng bón phân đạm,Giảm nguy cơ sâu xanh
Ớt,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của nảy mầm kém
Dưa hấu,Nhiều ngày nắng,Bón vôi cải tạo đất,Giúp cây tránh đạo ôn
Dưa leo,Trời nhiều mây,Đào mương xung quanh ruộng,Giúp cây tránh đạo ôn
Cà chua,Mưa rào nhẹ,Bón vôi cải tạo đất,Tăng khả năng chống chịu với nấm bệnh
Mía,Mưa lớn,Theo dõi sát thời tiết,Bảo vệ cây khỏi bạc lá
Rau màu,Độ ẩm không khí cao,Tưới nhỏ giọt,Giúp cây tránh cháy lá
Dưa hấu,Gió mạnh,Bón vôi cải tạo đất,Tăng khả năng chống chịu với sốc nhiệt
Chuối,Trời nhiều mây,Bắt sâu thủ công,Bảo vệ cây khỏi thối rễ
Đậu phụng,Trời âm u,Dừng bón phân đạm,Giảm nguy cơ sâu xanh
Đậu phụng,Mưa rào nhẹ,Bón phân hữu cơ,Bảo vệ cây khỏi đạo ôn
Xoài,Độ ẩm không khí cao,Theo dõi sát thời tiết,Bảo vệ cây khỏi bạc lá
Ớt,Có áp thấp nhiệt đới,Tưới nước định kỳ,Hạn chế ảnh hưởng của rụng hoa
Bắp cải,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của rụng hoa
Dưa leo,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Bảo vệ cây khỏi cháy lá
Lúa,Trời nhiều mây,Bắt sâu thủ công,Hạn chế ảnh hưởng của nấm bệnh
Chuối,Độ ẩm không khí cao,Bón vôi cải tạo đất,Giúp cây tránh nấm bệnh
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Chuối,Mưa lớn,Tưới nước định kỳ,Tăng khả năng chống chịu với nảy mầm kém
Thanh long,Trời âm u,Dừng bón phân đạm,Bảo vệ cây khỏi sốc nhiệt
Sắn,Trời lạnh buổi sáng,Tưới nước định kỳ,Bảo vệ cây khỏi nấm bệnh
Cải bẹ,Có áp thấp nhiệt đới,Bón phân hữu cơ,Bảo vệ cây khỏi bạc lá
Cải bẹ,Sương mù dày,Dừng bón phân đạm,Hạn chế ảnh hưởng của sốc nhiệt
Đậu phụng,Trời âm u,Phun thuốc phòng bệnh,Bảo vệ cây khỏi bạc lá
Mía,Sương mù dày,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của sâu xanh
Lúa,Nhiệt độ thấp < 15°C,Bắt sâu thủ công,Bảo vệ cây khỏi ngập úng
Đậu phụng,Trời âm u,Che chắn bằng lưới,Tăng khả năng chống chịu với nấm bệnh
Ớt,Nhiệt độ thấp < 15°C,Bắt sâu thủ công,Bảo vệ cây khỏi đạo ôn
Mía,Trời nhiều mây,Bón phân hữu cơ,Bảo vệ cây khỏi cháy lá
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Giúp cây tránh héo rũ
Cà tím,Gió mạnh,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của suy kiệt
Dưa hấu,Trời lạnh buổi sáng,Tăng cường thoát nước,Giúp cây tránh héo rũ
Thanh long,Nắng nhẹ sau mưa,Tăng cường thoát nước,Bảo vệ cây khỏi nấm bệnh
Thanh long,Trời lạnh buổi sáng,Che chắn bằng lưới,Hạn chế ảnh hưởng của vàng lá
Chuối,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Hạn chế ảnh hưởng của ngập úng
Chuối,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Giúp cây tránh héo rũ
Rau màu,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ suy kiệt
Mía,Trời lạnh buổi sáng,Tưới nước định kỳ,Bảo vệ cây khỏi rụng hoa
Sắn,Trời nhiều mây,Bón phân hữu cơ,Bảo vệ cây khỏi thối rễ
Sắn,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi cháy lá
Đậu phụng,Trời âm u,Phun thuốc phòng bệnh,Bảo vệ cây khỏi nấm bệnh
Sắn,Trời âm u,Tăng cường thoát nước,Giúp cây tránh rụng hoa
Bắp cải,Mưa lớn,Đào mương xung quanh ruộng,Bảo vệ cây khỏi nấm bệnh
Dưa leo,Trời nhiều mây,Tỉa thưa cây con,Tăng khả năng chống chịu với cháy lá
Bắp cải,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với vàng lá
Dưa hấu,Trời nhiều mây,Tưới nhỏ giọt,Bảo vệ cây khỏi sốc nhiệt
Rau màu,Trời lạnh buổi sáng,Bắt sâu thủ công,Giúp cây tránh vàng lá
Dưa hấu,Trời âm u,Phun chế phẩm sinh học,Giúp cây tránh vàng lá
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Bảo vệ cây khỏi sốc nhiệt
Cải bẹ,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của rụng hoa
Dưa leo,Mưa rào nhẹ,Tỉa thưa cây con,Giúp cây tránh nảy mầm kém
Thanh long,Mưa lớn,Bắt sâu thủ công,Hạn chế ảnh hưởng của nảy mầm kém
Mía,Có áp thấp nhiệt đới,Che chắn bằng lưới,Giảm nguy cơ sâu xanh
Bắp cải,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Giảm nguy cơ sốc nhiệt
Cà chua,Độ ẩm thấp,Dừng bón phân đạm,Giúp cây tránh ngập úng
Ớt,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Hạn chế ảnh hưởng của thối rễ
Rau màu,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với suy kiệt
Chuối,Trời lạnh buổi sáng,Bắt sâu thủ công,Hạn chế ảnh hưởng của nấm bệnh
Dưa hấu,Trời âm u,Che chắn bằng lưới,Hạn chế ảnh hưởng của thối rễ
Xoài,Có áp thấp nhiệt đới,Che chắn bằng lưới,Giúp cây tránh sốc nhiệt
Lúa,Mưa lớn,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của thối rễ
Dưa leo,Sương mù dày,Tưới nước định kỳ,Hạn chế ảnh hưởng của suy kiệt
Cà tím,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của thối rễ
Xoài,Mưa rào nhẹ,Bón phân hữu cơ,Tăng khả năng chống chịu với vàng lá
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với suy kiệt
Cải bẹ,Mưa rào nhẹ,Tưới nước định kỳ,Giảm nguy cơ rụng hoa
Dưa leo,Có áp thấp nhiệt đới,Bón phân hữu cơ,Giảm nguy cơ nảy mầm kém
Thanh long,Độ ẩm không khí cao,Tưới nước định kỳ,Tăng khả năng chống chịu với héo rũ
Dưa hấu,Mưa lớn,Dừng bón phân đạm,Tăng khả năng chống chịu với héo rũ
Chuối,Trời nhiều mây,Bắt sâu thủ công,Hạn chế ảnh hưởng của ngập úng
Mía,Mưa rào nhẹ,Che chắn bằng lưới,Giúp cây tránh thiếu nước
Dưa hấu,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Hạn chế ảnh hưởng của thiếu nước
Sắn,Nắng nhẹ sau mưa,Trì hoãn gieo trồng,Bảo vệ cây khỏi suy kiệt
Ngô,Gió mạnh,Tỉa thưa cây con,Giúp cây tránh nấm bệnh
Dưa hấu,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với bạc lá
Cà chua,Nắng nhẹ sau mưa,Theo dõi sát thời tiết,Tăng khả năng chống chịu với thiếu nước
Cà tím,Nhiều ngày nắng,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của đạo ôn
Ớt,Trời nhiều mây,Phun chế phẩm sinh học,Giúp cây tránh ngập úng
Đậu phụng,Trời âm u,Phun chế phẩm sinh học,Tăng khả năng chống chịu với vàng lá
Lúa,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi nấm bệnh
Chuối,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Chuối,Mưa lớn,Phun chế phẩm sinh học,Bảo vệ cây khỏi thiếu nước
Đậu phụng,Có áp thấp nhiệt đới,Tưới nước định kỳ,Giảm nguy cơ sâu xanh
Xoài,Mưa lớn,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với nảy mầm kém
Bắp cải,Trời nhiều mây,Bón vôi cải tạo đất,Tăng khả năng chống chịu với thối rễ
Ngô,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của đạo ôn
Dưa hấu,Nhiều ngày nắng,Tỉa thưa cây con,Giảm nguy cơ bạc lá
Dưa hấu,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Bảo vệ cây khỏi rụng hoa
Ngô,Độ ẩm không khí cao,Dừng bón phân đạm,Bảo vệ cây khỏi ngập úng
Ngô,Trời âm u,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi sốc nhiệt
Sắn,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh thiếu nước
Lúa,Trời âm u,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của cháy lá
Mía,Độ ẩm thấp,Bón phân hữu cơ,Tăng khả năng chống chịu với đạo ôn
Cải bẹ,Sương mù dày,Bắt sâu thủ công,Hạn chế ảnh hưởng của suy kiệt
Chuối,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Giảm nguy cơ đạo ôn
Xoài,Độ ẩm thấp,Đào mương xung quanh ruộng,Bảo vệ cây khỏi suy kiệt
Lúa,Độ ẩm thấp,Che chắn bằng lưới,Hạn chế ảnh hưởng của đạo ôn
Thanh long,Nắng nhẹ sau mưa,Che chắn bằng lưới,Bảo vệ cây khỏi thiếu nước
Cải bẹ,Trời âm u,Bắt sâu thủ công,Hạn chế ảnh hưởng của nảy mầm kém
Chuối,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Giúp cây tránh nảy mầm kém
Lúa,Sương mù dày,Dừng bón phân đạm,Giảm nguy cơ suy kiệt
Bắp cải,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Giúp cây tránh bạc lá
Dưa leo,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Giúp cây tránh héo rũ
Rau màu,Sương mù dày,Tưới nước định kỳ,Hạn chế ảnh hưởng của cháy lá
Dưa hấu,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Giúp cây tránh suy kiệt
Mía,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giúp cây tránh cháy lá
Dưa leo,Mưa lớn,Theo dõi sát thời tiết,Bảo vệ cây khỏi suy kiệt
Mía,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Giúp cây tránh thối rễ
Thanh long,Mưa lớn,Đào mương xung quanh ruộng,Giảm nguy cơ ngập úng
Cà tím,Có áp thấp nhiệt đới,Tưới nước định kỳ,Tăng khả năng chống chịu với rụng hoa
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Giúp cây tránh vàng lá
Lúa,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Bảo vệ cây khỏi đạo ôn
Chuối,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Giúp cây tránh thiếu nước
Rau màu,Trời lạnh buổi sáng,Tưới nhỏ giọt,Tăng khả năng chống chịu với rụng hoa
Cà chua,Nắng nhẹ sau mưa,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với đạo ôn
Lúa,Sương mù dày,Tỉa thưa cây con,Bảo vệ cây khỏi bạc lá
Thanh long,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Giảm nguy cơ héo rũ
Đậu phụng,Trời âm u,Trì hoãn gieo trồng,Bảo vệ cây khỏi bạc lá
Sắn,Gió mạnh,Trì hoãn gieo trồng,Giúp cây tránh sốc nhiệt
Lúa,Trời âm u,Theo dõi sát thời tiết,Giúp cây tránh suy kiệt
Dưa leo,Trời âm u,Phun thuốc phòng bệnh,Bảo vệ cây khỏi sốc nhiệt
Cà tím,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Giảm nguy cơ ngập úng
Ngô,Trời âm u,Bắt sâu thủ công,Giúp cây tránh thiếu nước
Cà chua,Độ ẩm thấp,Tưới nhỏ giọt,Giúp cây tránh héo rũ
Rau màu,Nhiệt độ thấp < 15°C,Bắt sâu thủ công,Tăng khả năng chống chịu với suy kiệt
Cà tím,Gió mạnh,Tăng cường thoát nước,Giúp cây tránh đạo ôn
Bắp cải,Nhiều ngày nắng,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với rụng hoa
Dưa hấu,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Hạn chế ảnh hưởng của đạo ôn
Dưa leo,Độ ẩm thấp,Phun thuốc phòng bệnh,Giúp cây tránh bạc lá
Lúa,Độ ẩm không khí cao,Tăng cường thoát nước,Tăng khả năng chống chịu với thiếu nước
Cà tím,Nắng nhẹ sau mưa,Tỉa thưa cây con,Hạn chế ảnh hưởng của héo rũ
Ngô,Mưa rào nhẹ,Bón phân hữu cơ,Giảm nguy cơ nảy mầm kém
Đậu phụng,Trời âm u,Bón vôi cải tạo đất,Giúp cây tránh thiếu nước
Rau màu,Trời âm u,Bón vôi cải tạo đất,Giúp cây tránh nảy mầm kém
Dưa hấu,Độ ẩm không khí cao,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của cháy lá
Lúa,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nấm bệnh
Lúa,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của vàng lá
Dưa hấu,Nhiều ngày nắng,Phun thuốc phòng bệnh,Giảm nguy cơ rụng hoa
Ngô,Nắng gắt,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của nấm bệnh
Thanh long,Có áp thấp nhiệt đới,Tưới nước định kỳ,Giúp cây tránh nảy mầm kém
Ớt,Gió mạnh,Bón phân hữu cơ,Tăng khả năng chống chịu với thiếu nước
Cà tím,Độ ẩm thấp,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của ngập úng
Cà chua,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Bảo vệ cây khỏi nảy mầm kém
Cà tím,Độ ẩm không khí cao,Theo dõi sát thời tiết,Tăng khả năng chống chịu với héo rũ
Cà tím,Nhiệt độ thấp < 15°C,Bắt sâu thủ công,Hạn chế ảnh hưởng của sốc nhiệt
Rau màu,Độ ẩm thấp,Tưới nhỏ giọt,Hạn chế ảnh hưởng của sốc nhiệt
